,Unnamed: 0,城市,2019平均房价
588,588,雅安市,5906元/㎡
589,589,乐山市,5918元/㎡
590,590,眉山市,5969元/㎡
591,591,内江市,5984元/㎡
592,592,泸州市,6295元/㎡
593,593,资阳市,6418元/㎡
594,594,遂宁市,6422元/㎡
595,595,广元市,6624元/㎡
596,596,南充市,6652元/㎡
597,597,达州市,6801元/㎡
598,598,宜宾市,6841元/㎡
599,599,绵阳市,7644元/㎡
600,600,凉山市,9184元/㎡
601,601,成都市,13440元/㎡
602,602,乌鲁木齐市,8023元/㎡
603,603,昌吉市,5550元/㎡
604,604,石河子市,5414元/㎡
605,605,喀什市,4932元/㎡
606,606,伊犁市,4925元/㎡
607,607,克拉玛依市,4801元/㎡
608,608,五家渠市,4224元/㎡
609,609,博尔塔拉市,3901元/㎡
610,610,哈密市,3724元/㎡
611,611,巴音郭楞市,3705元/㎡
612,612,阿克苏市,3701元/㎡
613,613,阿克苏市,3701元/㎡
614,614,巴音郭楞市,3705元/㎡
615,615,哈密市,3724元/㎡
616,616,博尔塔拉市,3901元/㎡
617,617,五家渠市,4224元/㎡
618,618,克拉玛依市,4801元/㎡
619,619,伊犁市,4925元/㎡
620,620,喀什市,4932元/㎡
621,621,石河子市,5414元/㎡
622,622,昌吉市,5550元/㎡
623,623,乌鲁木齐市,8023元/㎡
624,624,拉萨市,11707元/㎡
625,625,林芝市,8337元/㎡
626,626,林芝市,8337元/㎡
627,627,拉萨市,11707元/㎡
628,628,大理市,12357元/㎡
629,629,昆明市,12355元/㎡
630,630,西双版纳市,9312元/㎡
631,631,保山市,7775元/㎡
632,632,丽江市,7607元/㎡
633,633,玉溪市,7606元/㎡
634,634,临沧市,6987元/㎡
635,635,普洱市,6825元/㎡
636,636,德宏市,6460元/㎡
637,637,昭通市,5985元/㎡
638,638,楚雄市,5099元/㎡
639,639,文山市,5032元/㎡
640,640,曲靖市,5005元/㎡
641,641,红河市,4941元/㎡
642,642,迪庆市,4778元/㎡
643,643,迪庆市,4778元/㎡
644,644,红河市,4941元/㎡
645,645,曲靖市,5005元/㎡
646,646,文山市,5032元/㎡
647,647,楚雄市,5099元/㎡
648,648,昭通市,5985元/㎡
649,649,德宏市,6460元/㎡
650,650,普洱市,6825元/㎡
651,651,临沧市,6987元/㎡
652,652,玉溪市,7606元/㎡
653,653,丽江市,7607元/㎡
654,654,保山市,7775元/㎡
655,655,西双版纳市,9312元/㎡
656,656,昆明市,12355元/㎡
657,657,大理市,12357元/㎡
658,658,杭州市,28082元/㎡
