城市,2010流动人口,2010流动人口占比,2011流动人口,2011流动人口占比,2012流动人口,2012流动人口占比,2013流动人口,2013流动人口占比,2015流动人口,2015流动人口占比,2016流动人口,2016流动人口占比,2017流动人口,2017流动人口占比
  白山市,-0.011034734,-1.00E-04,0.511013006,4.00E-03,0.098717483,8.00E-04,0.299130747,2.30E-03,0.395853659,3.10E-03,0.449049232,3.60E-03,1.490861711,1.21E-02
  白城市,-0.134720754,-7.00E-04,-0.036714149,-2.00E-04,0.092131219,5.00E-04,1.301903454,6.50E-03,0.59851385,3.00E-03,0.030177111,2.00E-04,2.068316059,1.06E-02
  哈尔滨市,-0.884903129,-9.00E-04,-0.205488891,-2.00E-04,-0.649915762,-7.00E-04,-0.220039293,-2.00E-04,3.951763439,4.00E-03,12.96579548,1.33E-02,-0.28361573,-3.00E-04
  齐齐哈尔市,-28.44461538,-5.24E-02,-28.25047458,-5.23E-02,-29.5213727,-5.49E-02,-27.87600614,-5.25E-02,-29.6552578,-5.66E-02,-29.40432665,-5.65E-02,-28.11405216,-5.45E-02
  鹤岗市,-0.092965044,-9.00E-04,-0.18357924,-1.70E-03,-0.000632515,0.00E+00,0.16273356,1.50E-03,0.419599238,3.90E-03,0.700235779,6.60E-03,0.620147362,5.90E-03
  大庆市,-1.471519693,-5.30E-03,0.193840272,7.00E-04,-0.916516755,-3.30E-03,0.032574771,1.00E-04,2.29384103,8.20E-03,-4.534816416,-1.67E-02,-0.363385785,-1.30E-03
  伊春市,0.156075388,1.20E-03,0.179301683,1.40E-03,0.303241098,2.40E-03,0.504679493,4.00E-03,0.588221211,4.80E-03,0.391561673,3.20E-03,1.382550017,1.16E-02
  绥化市,-1.524271798,-2.60E-03,-3.012958015,-5.20E-03,2.138995966,3.70E-03,15.68588286,2.74E-02,1.253440164,2.30E-03,2.358454211,4.30E-03,2.983740512,5.50E-03
上海市,504.1791604,2.65E-01,844.1644756,3.74E-01,905.6593508,3.90E-01,937.0464468,3.96E-01,981.7272363,4.06E-01,977.4941797,4.04E-01,967.4816836,4.00E-01
  南京市,-2.646614039,-4.20E-03,168.7808682,2.11E-01,169.4324482,2.10E-01,175.0069189,2.15E-01,171.4915477,2.09E-01,169.201992,2.06E-01,162.2938773,1.97E-01
  无锡市,-0.720088018,-1.50E-03,162.0123586,2.58E-01,172.3893351,2.69E-01,174.7827083,2.71E-01,172.1107699,2.65E-01,169.6567521,2.61E-01,165.9998867,2.55E-01
  徐州市,-5.35501992,-5.60E-03,-109.6875003,-1.27E-01,-118.9596179,-1.39E-01,-133.6661582,-1.56E-01,-162.5321741,-1.89E-01,-163.8334883,-1.89E-01,-172.0464507,-1.98E-01
  常州市,-0.538298212,-1.50E-03,91.45392487,2.02E-01,99.25211977,2.15E-01,102.0293371,2.19E-01,100.8243605,2.15E-01,99.03977108,2.11E-01,95.48671377,2.03E-01
  苏州市,-1.772029943,-2.80E-03,354.2372948,3.57E-01,407.0581647,3.88E-01,405.5855423,3.85E-01,398.0410429,3.76E-01,393.9891075,3.71E-01,385.1708758,3.62E-01
  连云港市,-1.207372198,-2.50E-03,-55.55043206,-1.26E-01,-66.0456054,-1.50E-01,-71.34548944,-1.62E-01,-82.50198749,-1.86E-01,-84.29430271,-1.89E-01,-85.49753713,-1.91E-01
  淮安市,1.383779242,2.60E-03,-57.78992897,-1.20E-01,-62.82707143,-1.31E-01,-66.47643529,-1.38E-01,-76.34580574,-1.58E-01,-78.24914984,-1.61E-01,-79.89828011,-1.64E-01
  盐城市,-0.322725886,-4.00E-04,-78.83807838,-1.07E-01,-95.63851708,-1.32E-01,-99.70936718,-1.38E-01,-106.3650099,-1.47E-01,-105.4618599,-1.46E-01,-107.8292297,-1.49E-01
  镇江市,-0.55513369,-2.10E-03,43.39240202,1.38E-01,40.53832876,1.30E-01,43.05546922,1.37E-01,44.74136695,1.41E-01,45.72449575,1.44E-01,45.88927307,1.44E-01
  泰州市,-3.190034373,-6.40E-03,-40.27718165,-8.67E-02,-44.72572765,-9.67E-02,-43.61093563,-9.42E-02,-44.86701235,-9.68E-02,-43.84063904,-9.45E-02,-43.63002377,-9.40E-02
  杭州市,119.92207,1.49E-01,162.8546663,1.91E-01,178.4710157,2.05E-01,176.5043164,2.01E-01,171.0025488,1.93E-01,171.9510158,1.92E-01,174.2974028,1.92E-01
  宁波市,141.9744829,1.99E-01,170.211561,2.29E-01,185.5386475,2.44E-01,185.6490745,2.43E-01,189.9013887,2.45E-01,195.2310725,2.50E-01,193.9995572,2.47E-01
  温州市,-3.565382349,-4.60E-03,-3.844728178,-4.90E-03,-5.825693221,-7.40E-03,114.7400793,1.25E-01,99.54886455,1.09E-01,98.03918291,1.08E-01,96.60201868,1.06E-01
  嘉兴市,87.59680164,2.05E-01,99.5335558,2.26E-01,108.6833468,2.41E-01,109.2506279,2.41E-01,108.2974652,2.37E-01,108.2697463,2.37E-01,107.9502668,2.35E-01
  湖州市,24.33091342,8.58E-02,27.23165854,9.48E-02,28.56124207,9.86E-02,28.80130776,9.92E-02,28.50218031,9.75E-02,30.28760205,1.03E-01,31.24877448,1.06E-01
  绍兴市,-0.341185654,-8.00E-04,-0.584313941,-1.30E-03,-0.538644157,-1.20E-03,-0.374753513,-9.00E-04,52.24982586,1.06E-01,53.09182661,1.07E-01,52.79950938,1.06E-01
  金华市,54.21371319,1.05E-01,62.22287265,1.18E-01,68.52391461,1.28E-01,68.6523225,1.27E-01,68.1475955,1.25E-01,66.45863956,1.22E-01,67.69653653,1.23E-01
  衢州市,-0.506714689,-2.00E-03,-0.690270288,-2.80E-03,-0.704278514,-2.80E-03,-0.111051045,-4.00E-04,-0.76225423,-3.00E-03,-43.53022193,-2.05E-01,-42.2493437,-1.97E-01
  台州市,-3.516380569,-6.10E-03,6.205501797,1.05E-02,11.84258547,1.98E-02,9.198247603,1.53E-02,5.550565756,9.20E-03,5.706581632,9.50E-03,6.445999969,1.06E-02
  丽水市,-26.94424379,-1.17E-01,-47.7081544,-2.25E-01,-39.60493821,-1.87E-01,-50.94755232,-2.41E-01,-53.04877373,-2.50E-01,-52.87814227,-2.48E-01,-52.80006401,-2.45E-01
  合肥市,14.58063958,2.88E-02,-1.919486824,-3.90E-03,42.74171077,5.71E-02,44.10080455,5.84E-02,52.54739766,6.87E-02,56.57755684,7.31E-02,52.94662956,6.76E-02
  芜湖市,0.342925757,1.50E-03,-0.006272513,0.00E+00,-0.612437638,-1.60E-03,0.998239711,2.60E-03,-23.85276941,-6.61E-02,-21.23759735,-5.84E-02,-21.80065116,-5.95E-02
  蚌埠市,-1.194617307,-3.30E-03,-0.793248397,-2.20E-03,-47.99397737,-1.51E-01,-49.85421622,-1.57E-01,-47.20294862,-1.46E-01,-48.89945514,-1.49E-01,-48.89910405,-1.48E-01
  淮南市,-13.0225035,-5.67E-02,-12.29239165,-5.31E-02,-12.19921053,-5.23E-02,-10.36484219,-4.44E-02,-6.800767363,-2.87E-02,95.14487461,2.79E-01,-44.64862451,-1.30E-01
  淮北市,-12.23966844,-5.96E-02,-12.64606392,-6.11E-02,-10.31495865,-4.88E-02,-6.352701687,-3.00E-02,-0.251590986,-1.20E-03,0.401160966,1.80E-03,2.352046559,1.07E-02
  铜陵市,-0.488449695,-6.60E-03,-1.648923344,-2.28E-02,-1.504777677,-2.07E-02,-0.949808416,-1.30E-02,-0.10024796,-1.40E-03,85.05130779,5.35E-01,-11.34356237,-7.10E-02
  黄山市,-0.121499694,-8.00E-04,0.333286962,2.20E-03,-0.02135095,-1.00E-04,0.388874987,2.60E-03,-11.75143945,-8.64E-02,-10.83894056,-7.92E-02,-10.35117528,-7.52E-02
  滁州市,-38.7484288,-9.42E-02,-51.00103448,-1.28E-01,-59.77385597,-1.52E-01,-58.3061174,-1.48E-01,-52.24380603,-1.32E-01,-48.95691733,-1.22E-01,-50.94464746,-1.26E-01
