城市,2010流动人口,2010流动人口占比,2011流动人口,2011流动人口占比,2012流动人口,2012流动人口占比,2013流动人口,2013流动人口.1,2015流动人口,2015流动人口占比,2016流动人口,2016流动人口占比,2017流动人口,2017流动人口占比
  梧州市,-9.160982675,-2.98%,-14.30468573,-4.58%,-38.06526739,-13.15%,-37.60258388,-12.88%,-0.027351165,-0.01%,-45.17587193,-15.12%,-46.10713554,-15.32%
  防城港市,-2.116034052,-2.50%,-5.254732718,-6.11%,-4.135764299,-4.74%,-3.334384319,-3.78%,-3.849914089,-4.26%,-4.289426823,-4.70%,-4.629898344,-5.01%
  贵港市,-81.17007832,-18.94%,-89.16224643,-20.51%,-113.9127255,-27.53%,-112.7371722,-27.02%,-119.3970638,-28.17%,-121.467915,-28.42%,-123.7105713,-28.68%
  玉林市,-85.34858045,-15.02%,-114.834554,-20.52%,-133.5083401,-24.22%,-135.9117042,-24.45%,-143.8618399,-25.50%,-142.3738846,-25.05%,-143.8636347,-25.10%
  百色市,-34.03655397,-9.34%,-49.2406046,-13.82%,-37.22924153,-10.70%,-57.96092669,-16.53%,-56.30155778,-15.83%,-54.91382414,-15.33%,-56.16019559,-15.56%
  贺州市,-8.55678735,-3.97%,-29.75683128,-14.61%,-37.07674393,-18.90%,-28.34212219,-14.31%,-37.43734616,-18.66%,-37.82792389,-18.73%,-39.78026589,-19.58%
  河池市,-24.81655945,-6.45%,-62.25986774,-18.48%,-82.27088039,-24.33%,-71.14339414,-20.90%,-75.73598489,-22.01%,-78.12746707,-22.55%,-80.21494533,-23.00%
  来宾市,-23.63742577,-10.24%,-39.68065219,-18.00%,-50.80752548,-24.09%,-47.63221685,-22.40%,-50.76189023,-23.54%,-48.55769198,-22.35%,-49.87762693,-22.76%
  海口市,27.43545324,14.78%,35.79948333,18.24%,37.57701085,18.79%,50.32602371,23.75%,53.28961216,24.38%,56.383386,25.49%,56.32687561,25.22%
  三亚市,-7.228937063,-14.91%,-7.466927633,-15.07%,4.372182471,7.00%,14.08042963,19.73%,15.09481899,20.48%,16.73701262,22.46%,17.15949931,22.83%
